,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
0,GRZ,2019-08-05,2019-07-10,-26,Monday,222548,USD,25933,500000,103455,0.051866,3.9893186287741487,0.20691,45-70,F,solisantonio,michaelodonnell@hotmail.com,Ashlee Torres,F,62
1,GRZ,2019-06-24,2020-09-10,444,Monday,781645,USD,45559,500000,475007,0.091118,10.426194604798173,0.950014,25-30,B,solisantonio,michaelodonnell@hotmail.com,Ashlee Torres,F,62
2,AKX,2018-12-26,2019-08-16,233,Wednesday,20378,EUR,30505,500001,14297,0.06100987798024404,0.46867726602196363,0.028593942812114376,30-40,F,solisantonio,michaelodonnell@hotmail.com,Ashlee Torres,F,62
3,KTR,2018-04-18,2019-07-06,444,Wednesday,258477,GBP,13989,500002,118361,0.027977888088447648,8.461005075416399,0.23672105311578753,35-55,M,solisantonio,michaelodonnell@hotmail.com,Ashlee Torres,F,62
4,BYU,2019-12-01,2019-06-13,-171,Sunday,388288,USD,8682,500002,148840,0.017363930544277824,17.14351531905091,0.29767880928476287,20-35,B,solisantonio,michaelodonnell@hotmail.com,Ashlee Torres,F,62
5,BYU,2018-10-24,2020-08-28,674,Wednesday,831708,EUR,27223,500001,436947,0.054445891108217785,16.050655695551555,0.8738922522154956,35-55,F,solisantonio,michaelodonnell@hotmail.com,Ashlee Torres,F,62
6,KTR,2018-10-02,2019-01-03,93,Tuesday,709946,EUR,6429,499995,621465,0.012858128581285813,96.66588894073729,1.2429424294242943,35-45,B,ogilmore,anthonypearson@wong-howell.biz,Edward Ware,M,49
7,BYU,2018-02-03,2019-12-24,689,Saturday,769745,EUR,43690,500002,404309,0.08737965048139808,9.254039826047151,0.8086147655409378,25-45,B,ogilmore,anthonypearson@wong-howell.biz,Edward Ware,M,49
8,AKX,2019-03-16,2019-07-10,116,Saturday,577669,GBP,69374,499999,335403,0.138748277496555,4.834707527315709,0.6708073416146833,25-45,M,ogilmore,anthonypearson@wong-howell.biz,Edward Ware,M,49
9,AKX,2017-12-30,2019-09-14,623,Saturday,167751,USD,17591,499998,54022,0.03518214072856291,3.071002217042806,0.10804443217772872,35-40,F,ogilmore,anthonypearson@wong-howell.biz,Edward Ware,M,49
10,AKX,2018-09-09,2020-06-18,648,Sunday,758066,GBP,21264,499998,49295,0.04252817011268045,2.318237396538751,0.09859039436157745,35-40,M,leachjennifer,josephwhite@alvarado.com,Tiffany Collins,F,60
11,KTR,2018-03-28,2018-05-21,54,Wednesday,300039,EUR,47755,499997,28724,0.09551057306343838,0.6014867553135798,0.05744834469006814,40-55,F,leachjennifer,josephwhite@alvarado.com,Tiffany Collins,F,60
12,GRZ,2019-01-03,2019-08-19,228,Thursday,408561,EUR,64404,500000,200193,0.128808,3.108393888578349,0.400386,45-50,B,fsmith,ycollier@hotmail.com,Michael Crawford,M,32
13,AKX,2019-01-27,2020-12-03,676,Sunday,344459,EUR,51882,499998,310741,0.10376441505766024,5.989379746347481,0.6214844859379437,45-55,M,fsmith,ycollier@hotmail.com,Michael Crawford,M,32
14,AKX,2019-06-05,2020-09-22,475,Wednesday,872813,EUR,36606,499998,141754,0.0732122928491714,3.872425285472327,0.28350913403653616,25-35,M,fsmith,ycollier@hotmail.com,Michael Crawford,M,32
15,KTR,2018-01-06,2020-05-14,859,Saturday,520069,EUR,95549,499999,519235,0.1910983821967644,5.434227464442328,1.038472076944154,35-50,F,fsmith,ycollier@hotmail.com,Michael Crawford,M,32
16,KTR,2019-01-13,2019-12-16,337,Sunday,778352,USD,35105,500002,427506,0.07020971916112335,12.177923372738926,0.8550085799656801,40-55,B,fsmith,ycollier@hotmail.com,Michael Crawford,M,32
17,BYU,2018-08-01,2019-10-18,443,Wednesday,555011,EUR,34518,499999,5209,0.06903613807227614,0.15090677327771018,0.010418020836041672,30-35,M,fsmith,ycollier@hotmail.com,Michael Crawford,M,32
18,AKX,2017-12-11,2018-08-13,245,Monday,994392,USD,15431,500000,693699,0.030862,44.95489598859439,1.387398,20-35,M,tmorris,ereed@nelson.net,Jerry Alexander,M,41
19,GRZ,2018-11-07,2019-05-23,197,Wednesday,138977,USD,94003,499998,130628,0.18800675202700812,1.3896152250460092,0.2612570450281801,20-40,M,tmorris,ereed@nelson.net,Jerry Alexander,M,41
20,GRZ,2017-05-11,2018-06-17,402,Thursday,223125,EUR,44060,499999,13340,0.08812017624035248,0.30276895142986837,0.02668005336010672,25-40,M,tmorris,ereed@nelson.net,Jerry Alexander,M,41
21,AKX,2018-11-19,2020-11-15,727,Monday,491444,USD,42600,499997,391447,0.08520051120306722,9.188896713615023,0.7828986973921843,25-35,B,tmorris,ereed@nelson.net,Jerry Alexander,M,41
22,KTR,2018-10-26,2020-10-18,723,Friday,587364,USD,32965,499999,150292,0.06593013186026372,4.559138480206279,0.3005846011692023,40-60,F,seanhunt,colesteven@hotmail.com,Karen Gutierrez,F,22
23,KTR,2019-02-02,2020-03-09,401,Saturday,217476,EUR,23640,499995,187127,0.047280472804728045,7.915693739424704,0.3742577425774258,30-50,M,seanhunt,colesteven@hotmail.com,Karen Gutierrez,F,22
